Date,High,Low,Open,Close,Volume,Adj Close
2015-03-27,23650.0,20850.0,21150.0,21550.0,7227150.0,18540.935546875
2015-03-30,22400.0,20750.0,21400.0,22200.0,1541250.0,19100.17578125
2015-03-31,24700.0,22450.0,22500.0,24600.0,2617760.0,21165.05859375
2015-04-01,25250.0,23600.0,24500.0,24900.0,1026000.0,21423.169921875
2015-04-02,24900.0,23600.0,24900.0,24250.0,569710.0,20863.931640625
2015-04-03,25450.0,23850.0,24400.0,25050.0,534530.0,21552.224609375
2015-04-06,25400.0,24800.0,25000.0,24800.0,222380.0,21337.1328125
2015-04-07,25000.0,23600.0,25000.0,24500.0,401070.0,21079.021484375
2015-04-08,24500.0,23700.0,24500.0,23700.0,360810.0,20390.728515625
2015-04-09,23750.0,22750.0,23400.0,22900.0,442670.0,19702.431640625
2015-04-10,23100.0,21950.0,22800.0,22600.0,558350.0,19444.322265625
2015-04-13,23200.0,21850.0,22400.0,22800.0,657350.0,19616.396484375
2015-04-14,24350.0,22750.0,23100.0,24300.0,543360.0,20906.94921875
2015-04-15,25100.0,23950.0,24400.0,25000.0,616240.0,21509.20703125
2015-04-16,25100.0,24200.0,24750.0,24600.0,254530.0,21165.05859375
2015-04-17,24600.0,23750.0,24600.0,24000.0,324170.0,20648.837890625
2015-04-20,24850.0,23350.0,23600.0,24800.0,277960.0,21337.1328125
2015-04-21,24900.0,24250.0,24900.0,24500.0,104650.0,21079.021484375
2015-04-22,24650.0,22500.0,24650.0,23650.0,214040.0,20347.7109375
2015-04-23,24400.0,22000.0,23600.0,23700.0,935510.0,20390.728515625
2015-04-24,23850.0,23000.0,23700.0,23450.0,353000.0,20175.634765625
2015-04-27,23500.0,22700.0,23450.0,22900.0,447550.0,19702.431640625
2015-04-28,23550.0,22900.0,23300.0,23500.0,161570.0,20218.654296875
2015-04-29,23700.0,23150.0,23350.0,23250.0,102120.0,20003.5625
2015-04-30,23500.0,22600.0,23450.0,22600.0,154950.0,19444.322265625
2015-05-04,22950.0,22000.0,22850.0,22700.0,192550.0,19530.359375
2015-05-06,22600.0,21850.0,22600.0,22550.0,240010.0,19401.3046875
2015-05-07,22500.0,21700.0,22400.0,22050.0,227120.0,18971.12109375
2015-05-08,23650.0,22200.0,22400.0,23450.0,270260.0,20175.634765625
2015-05-11,23700.0,22700.0,23700.0,23250.0,119680.0,20003.5625
2015-05-12,23500.0,23000.0,23050.0,23500.0,109220.0,20218.654296875
2015-05-13,23950.0,23300.0,23350.0,23750.0,220860.0,20433.74609375
2015-05-14,26900.0,23850.0,23950.0,26500.0,868240.0,22799.759765625
2015-05-15,26650.0,25850.0,26600.0,26100.0,319570.0,22455.611328125
2015-05-18,26350.0,25600.0,26100.0,26300.0,135170.0,22627.685546875
