Date,High,Low,Open,Close,Volume,Adj Close
2016-05-27,11700.0,8990.0,9000.0,11700.0,20147129.0,11439.7578125
2016-05-30,15200.0,11000.0,15200.0,11500.0,15900980.0,11244.2060546875
2016-05-31,11900.0,10400.0,11500.0,10900.0,20874621.0,10657.5517578125
2016-06-01,10950.0,9840.0,10900.0,10100.0,12092754.0,9875.3466796875
2016-06-02,10300.0,9530.0,9930.0,9600.0,7485108.0,9386.4677734375
2016-06-03,9920.0,9220.0,9840.0,9610.0,6861708.0,9396.24609375
2016-06-07,9620.0,9210.0,9550.0,9230.0,2927958.0,9024.6982421875
2016-06-08,10050.0,9110.0,9230.0,9650.0,8276357.0,9435.35546875
2016-06-09,9750.0,9190.0,9740.0,9250.0,2792829.0,9044.2529296875
2016-06-10,9440.0,9180.0,9280.0,9280.0,1715222.0,9073.5859375
2016-06-13,9570.0,9230.0,9390.0,9230.0,2003678.0,9024.6982421875
2016-06-14,9520.0,9270.0,9320.0,9380.0,2344332.0,9171.361328125
2016-06-15,9550.0,9320.0,9450.0,9360.0,1811278.0,9151.806640625
2016-06-16,9470.0,8660.0,9400.0,8730.0,3845889.0,8535.8203125
2016-06-17,8910.0,8290.0,8800.0,8350.0,2968010.0,8164.271484375
2016-06-20,8580.0,8370.0,8460.0,8400.0,1028414.0,8213.16015625
2016-06-21,8630.0,8390.0,8420.0,8500.0,1227078.0,8310.935546875
2016-06-22,8580.0,8230.0,8480.0,8230.0,1161204.0,8046.94091796875
2016-06-23,8250.0,7880.0,8230.0,7970.0,1215413.0,7792.72412109375
2016-06-24,8080.0,7110.0,8050.0,7250.0,2036164.0,7088.73876953125
2016-06-27,7750.0,7000.0,7000.0,7690.0,1811944.0,7518.9521484375
2016-06-28,7780.0,7530.0,7580.0,7700.0,1069244.0,7528.7294921875
2016-06-29,8090.0,7720.0,7750.0,7850.0,1192356.0,7675.3935546875
2016-06-30,8020.0,7800.0,7940.0,7800.0,689355.0,7626.50537109375
2016-07-01,8020.0,7860.0,7880.0,7900.0,567278.0,7724.28125
2016-07-04,8970.0,7890.0,7910.0,8420.0,3521218.0,8232.71484375
2016-07-05,8750.0,8360.0,8440.0,8580.0,1563560.0,8389.1552734375
2016-07-06,8640.0,8290.0,8640.0,8310.0,835098.0,8125.162109375
2016-07-07,8640.0,8320.0,8330.0,8480.0,735594.0,8291.3798828125
2016-07-08,8570.0,8290.0,8480.0,8290.0,483412.0,8105.60595703125
2016-07-11,8300.0,8100.0,8290.0,8110.0,580414.0,7929.60986328125
2016-07-12,8200.0,8000.0,8140.0,8020.0,512656.0,7841.6123046875
2016-07-13,8110.0,8000.0,8040.0,8000.0,430652.0,7822.056640625
2016-07-14,8070.0,7900.0,8000.0,7940.0,382559.0,7763.39111328125
2016-07-15,7990.0,7720.0,7940.0,7750.0,531849.0,7577.61767578125
2016-07-18,7850.0,7680.0,7690.0,7780.0,265487.0,7606.95068359375
2016-07-19,7800.0,7700.0,7730.0,7700.0,288611.0,7528.7294921875
2016-07-20,7920.0,7690.0,7710.0,7800.0,365510.0,7626.50537109375
2016-07-21,7950.0,7770.0,7800.0,7780.0,314405.0,7606.95068359375
2016-07-22,7780.0,7660.0,7780.0,7720.0,240301.0,7548.28515625
2016-07-25,7780.0,7690.0,7700.0,7720.0,319825.0,7548.28515625
2016-07-26,7900.0,7650.0,7710.0,7770.0,533056.0,7597.17236328125
2016-07-27,7950.0,7690.0,7780.0,7720.0,496515.0,7548.28515625
2016-07-28,7750.0,7610.0,7680.0,7640.0,458048.0,7470.06396484375
2016-07-29,7660.0,7560.0,7610.0,7570.0,294382.0,7401.62109375
